"","Year","Air Temperature","Water Temperature"
"1",1988,2.45098883201489,4.61199395067473
"2",1989,3.39997639560958,4.8819544435265
"3",1990,2.90151140423193,4.91907117339929
"4",1991,0.418180136859626,3.27201775476235
"5",1992,2.63378268448576,4.80138291690877
"6",1993,3.30825870646766,4.88215174129353
"7",1994,2.48300528789659,4.60913631022327
"8",1995,4.35484245439469,5.88484245439469
"9",1996,2.75096153846154,4.14205955334988
"10",1997,3.55005936832106,5.4710995013061
"11",1998,2.30320803232521,4.50933023141913
"12",1999,2.15527950310559,4.1761516563147
"13",2000,3.11609688581315,4.71928027681661
"14",2001,0.208197674418605,3.44313953488372
"15",2002,4.61640971488912,6.39457233368532
"16",2003,4.21735745362949,5.78184108083352
"17",2004,3.93080168776371,5.64007298437678
"18",2005,3.62041166380789,5.24958261863922
"19",2006,2.85568848498792,5.1344875186932
"20",2007,0.81790415119811,3.23891326358421
"21",2008,2.58906357585495,4.85091806288731
"22",2009,0.624251846094054,2.94642440730665
"23",2010,0.597182468694097,3.00398032200358
"24",2011,1.37719298245614,2.60061919504644
"25",2012,3.49963078343141,5.22650282681435
"26",2013,4.44751921733054,5.92760307477289
"27",2014,7.52508038585209,8.79400551217272
"28",2015,4.1659231297186,5.90905971173644
"29",2016,4.74965130902024,6.28941351320453
"30",2017,4.81583971714791,6.15685327047731
